ID;site_abbreviation;zone_geo;fonction_nom;obj_nom;nouvelle_categorie;obj_nmi;materiau_nom;depot_nom;obj_remarque;typeSep_nom;defunt_genre;defunt_age;defunt_classe_age;phase_date_debut;phase_date_fin;province_nom;us_nom;obj_typologie;obj_longueur;obj_hauteur
1;NIMJJ;Gaule du sud;huisserie, charpente;clou;huisserie  charpente;1;fer;mobilier déposé dans une inhumation;;inhumation en pleine terre;masculin;15-18 ans;juvenis;1;200;Gaule Narbonnaise;SP1067;;act. 60;
2;NIMJJ;Gaule du sud;parure, vêtement;bague;parure annulaire bague et anneau;1;alliage cuivreux;modalité de dépôt inconnue;restes osseux de l'immature non brûlés;crémation secondaire à urne;indéterminé;13-19 ans;juvenis;125;170;Gaule Narbonnaise;SP1394, US 1488;Guiraud 1989, type 8b;;
3;NIMJJ;Gaule du sud;toilette, hygiène;cure-oreille;instrument de toilette;1;alliage cuivreux;modalité de dépôt inconnue;restes osseux de l'immature non brûlés;crémation secondaire à urne;indéterminé;13-19 ans;juvenis;125;170;Gaule Narbonnaise;SP1394, US 1481;;act. 117;
4;NIMJJ;Gaule du sud;écriture;stylet;intrument écriture sur cire;1;fer;modalité de dépôt inconnue;restes osseux de l'immature non brûlés;crémation secondaire à urne;indéterminé;13-19 ans;juvenis;125;170;Gaule Narbonnaise;SP1394, US 1483;;act. 140;
5;NIMJJ;Gaule du sud;écriture;stylet;intrument écriture sur cire;1;fer;modalité de dépôt inconnue;restes osseux de l'immature non brûlés;crémation secondaire à urne;indéterminé;13-19 ans;juvenis;125;170;Gaule Narbonnaise;SP1394, US 1485;;act. 122;
6;NIMJJ;Gaule du sud;indéterminé;objet indéterminé;indéterminé;1;fer;modalité de dépôt inconnue;restes osseux de l'immature non brûlés;crémation secondaire à urne;indéterminé;13-19 ans;juvenis;125;170;Gaule Narbonnaise;SP1394, US 1484-1486;;act. 155;
7;NIMJJ;Gaule du sud;indéterminé;tige;indéterminé;0;fer;dépôt primaire de mobilier;restes osseux de l'immature non brûlés;crémation secondaire à urne;indéterminé;13-19 ans;juvenis;125;170;Gaule Narbonnaise;SP1394, US 1495;;act. 76;
8;NIMJJ;Gaule du sud;huisserie, charpente;clou;huisserie  charpente;2;fer;dépôt primaire de mobilier;restes osseux de l'immature non brûlés;crémation secondaire à urne;indéterminé;13-19 ans;juvenis;125;170;Gaule Narbonnaise;SP1394, US 1489 et 1491;;;
9;NIMJJ;Gaule du sud;indéterminé;coulure;indéterminé;0;fer;dépôt primaire de mobilier;restes osseux de l'immature non brûlés;crémation secondaire à urne;indéterminé;13-19 ans;juvenis;125;170;Gaule Narbonnaise;SP1394, US 1489 et 1490;;;
10;NIMJJ;Gaule du sud;indéterminé;tige;indéterminé;0;fer;dépôt primaire de mobilier;restes osseux de l'immature non brûlés;crémation secondaire à urne;indéterminé;13-19 ans;juvenis;125;170;Gaule Narbonnaise;SP1394, US 1492 et 1494;;;
11;NIMJJ;Gaule du sud;indéterminé;coulure;indéterminé;0;fer;dépôt primaire de mobilier;restes osseux de l'immature non brûlés;crémation secondaire à urne;indéterminé;13-19 ans;juvenis;125;170;Gaule Narbonnaise;SP1394, US 1493;;;
12;NIMJJ;Gaule du sud;indéterminé;coulure;indéterminé;0;fer;dépôt primaire de mobilier;restes osseux de l'immature non brûlés;crémation secondaire à urne;indéterminé;13-19 ans;juvenis;125;170;Gaule Narbonnaise;SP1394, US 1477;;;
13;NIMJJ;Gaule du sud;ameublement;élément de placage;ameublement;1;os;dépôt primaire de mobilier;restes osseux de l'immature non brûlés;crémation secondaire à urne;indéterminé;13-19 ans;juvenis;125;170;Gaule Narbonnaise;SP1394;;10;
14;STL;Gaule du sud;parure, vêtement;clou de chaussure;clou de chaussure;1;fer;dépôt primaire de mobilier;intérieur de l'urne;crémation secondaire à urne;indéterminé;13-19 ans;juvenis;69;96;Gaule Narbonnaise;T131;;;
15;STL;Gaule du sud;indéterminé;scorie;indéterminé;0;alliage cuivreux;dépôt primaire de mobilier;intérieur de l'urne;crémation secondaire à urne;indéterminé;13-19 ans;juvenis;69;96;Gaule Narbonnaise;T131;;;
16;STL;Gaule du sud;éclairage;lampe à huile;éclairage;1;terre cuite;dépôt primaire de mobilier;intérieur fosse;crémation secondaire à urne;indéterminé;13-19 ans;juvenis;69;96;Gaule Narbonnaise;T131;;;
17;STL;Gaule du sud;parure, vêtement;intaille;parure annulaire bague a intaille;1;nicolo;dépôt primaire de mobilier;intérieur contenant;crémation secondaire à urne;indéterminé;13-19 ans;juvenis;69;96;Gaule Narbonnaise;T131;;;12
18;STL;Gaule du sud;travail du textile;aiguille;travail du textile;1;os;dépôt primaire de mobilier;intérieur contenant;crémation secondaire à urne;indéterminé;13-19 ans;juvenis;69;96;Gaule Narbonnaise;T131;;36;
19;STL;Gaule du sud;boisson;coupe;récipient à boire;1;verre;modalité de dépôt inconnue;intérieur contenant;crémation secondaire à urne;indéterminé;13-19 ans;juvenis;69;96;Gaule Narbonnaise;T131;"Rütti 1991, type AR 80 ; Isings 1957, type 42a";;38
20;STL;Gaule du sud;toilette, hygiène;balsamaire;balsamaire;1;verre;modalité de dépôt inconnue;intérieur contenant;crémation secondaire à urne;indéterminé;13-19 ans;juvenis;69;96;Gaule Narbonnaise;T131;;;
21;STL;Gaule du sud;indéterminé;scorie;indéterminé;1;verre;dépôt primaire de mobilier;intérieur contenant;crémation secondaire à urne;indéterminé;13-19 ans;juvenis;69;96;Gaule Narbonnaise;T131;;;
22;STL;Gaule du sud;parure, vêtement;perle;perle;1;verre;dépôt primaire de mobilier;intérieur fosse;crémation secondaire en fosse;indéterminé;13-19 ans;juvenis;-50;400;Gaule Narbonnaise;T141;;;
23;STL;Gaule du sud;toilette, hygiène;balsamaire;balsamaire;1;verre;dépôt primaire de mobilier;intérieur fosse;crémation secondaire en fosse;indéterminé;13-19 ans;juvenis;-50;400;Gaule Narbonnaise;T141;;;
24;STL;Gaule du sud;toilette, hygiène;balsamaire;balsamaire;1;verre;dépôt primaire de mobilier;intérieur fosse;crémation secondaire en fosse;indéterminé;13-19 ans;juvenis;-50;400;Gaule Narbonnaise;T141;;;
25;STL;Gaule du sud;éclairage;lampe à huile;éclairage;1;terre cuite;modalité de dépôt inconnue;extérieur urne;crémation secondaire mixte;indéterminé;13-19 ans;juvenis;-27;70;Gaule Narbonnaise;T309;;;
26;NIMJJ;Gaule du sud;boisson;coupe;récipient à boire;1;verre;dépôt primaire incertain;;crémation secondaire et inhumation;indéterminé;;adulte;125;175;Gaule Narbonnaise;SP2024, US 2025;Isings 1957, type 42;;
27;NIMJJ;Gaule du sud;éclairage;lampe à huile;éclairage;1;terre cuite;mobilier résiduel;;crémation secondaire et inhumation;indéterminé;;adulte;125;175;Gaule Narbonnaise;SP2024, US 2025;Loeschcke 1919, type III;;
28;NIMJJ;Gaule du sud;éclairage;lampe à huile;éclairage;1;terre cuite;modalité de dépôt inconnue;;bûcher en fosse;indéterminé;;adulte;75;150;Gaule Narbonnaise;SP2037, US 2038;;;
29;NIMJJ;Gaule du sud;parure, vêtement;bague;parure annulaire bague et anneau;1;fer;modalité de dépôt inconnue;;bûcher en fosse;indéterminé;;adulte;75;150;Gaule Narbonnaise;SP2037, US 2038;;act. 22,4;20,4
30;NIMJJ;Gaule du sud;parure, vêtement;clou de chaussure;clou de chaussure;60;fer;modalité de dépôt inconnue;;bûcher en fosse;indéterminé;;adulte;75;150;Gaule Narbonnaise;SP2037, US 2038;;;
31;NIMJJ;Gaule du sud;toilette, hygiène;balsamaire;balsamaire;1;verre;modalité de dépôt inconnue;;bûcher en fosse;indéterminé;;adulte;75;150;Gaule Narbonnaise;SP2037, US 2038;;;
32;NIMJJ;Gaule du sud;boisson;gobelet;récipient à boire;1;verre;dépôt secondaire de mobilier;;tombe-bûcher;indéterminé;;adulte;90;125;Gaule Narbonnaise;SP1055, US 1190;Isings 1957, type 106c2;;102
33;NIMJJ;Gaule du sud;toilette, hygiène;balsamaire;balsamaire;1;verre;dépôt secondaire de mobilier;;tombe-bûcher;indéterminé;;adulte;90;125;Gaule Narbonnaise;SP1055, US 1191;"Rütti 1991, type AR 130.2 ; Isings 1957, type 28b";;96
34;NIMJJ;Gaule du sud;toilette, hygiène;balsamaire;balsamaire;1;verre;dépôt primaire de mobilier;;tombe-bûcher;indéterminé;;adulte;90;125;Gaule Narbonnaise;SP1055, US 1202;"Rütti 1991, type AR 130.2 ; Isings 1957, type 28b";;102
35;NIMJJ;Gaule du sud;toilette, hygiène;balsamaire;balsamaire;1;verre;dépôt primaire de mobilier;;tombe-bûcher;indéterminé;;adulte;90;125;Gaule Narbonnaise;SP1055, US 1203;"Rütti 1991, type AR 130.2 ; Isings 1957, type 28b";;77
36;NIMJJ;Gaule du sud;toilette, hygiène;balsamaire;balsamaire;1;verre;dépôt primaire de mobilier;;tombe-bûcher;indéterminé;;adulte;90;125;Gaule Narbonnaise;SP1055, US 1211;"Rütti 1991, type AR 130.2 ; Isings 1957, type 28b";;78
37;NIMJJ;Gaule du sud;toilette, hygiène;balsamaire;balsamaire;1;verre;dépôt primaire de mobilier;;tombe-bûcher;indéterminé;;adulte;90;125;Gaule Narbonnaise;SP1055, US 1211;"Rütti 1991, type AR 130.2 ; Isings 1957, type 28b";;119
38;NIMJJ;Gaule du sud;toilette, hygiène;balsamaire;balsamaire;1;verre;dépôt primaire de mobilier;;tombe-bûcher;indéterminé;;adulte;90;125;Gaule Narbonnaise;SP1055, US 1211;"Rütti 1991, type AR 130.2 ; Isings 1957, type 28b";;
39;NIMJJ;Gaule du sud;toilette, hygiène;balsamaire;balsamaire;1;verre;dépôt primaire de mobilier;;tombe-bûcher;indéterminé;;adulte;90;125;Gaule Narbonnaise;SP1055, US 1211;"Rütti 1991, type AR 130.2 ; Isings 1957, type 28b";;30
40;NIMJJ;Gaule du sud;toilette, hygiène;balsamaire;balsamaire;1;verre;dépôt primaire de mobilier;;tombe-bûcher;indéterminé;;adulte;90;125;Gaule Narbonnaise;SP1055, US 1241;"Rütti 1991, type AR 156 ; Isings 1957, type 50a";;45
41;NIMJJ;Gaule du sud;toilette, hygiène;balsamaire;balsamaire;1;verre;dépôt primaire de mobilier;;tombe-bûcher;indéterminé;;adulte;90;125;Gaule Narbonnaise;SP1055, US 1241;"Rütti 1991, type AR 130.2 ; Isings 1957, type 28b";;62
42;NIMJJ;Gaule du sud;toilette, hygiène;balsamaire;balsamaire;1;verre;dépôt primaire de mobilier;;tombe-bûcher;indéterminé;;adulte;90;125;Gaule Narbonnaise;SP1055, US 1211;"Rütti 1991, type AR 130.2 ; Isings 1957, type 28b";;82
43;NIMJJ;Gaule du sud;vaisselle;plat;récipient culinaire;1;verre;dépôt primaire de mobilier;;tombe-bûcher;indéterminé;;adulte;90;125;Gaule Narbonnaise;SP1055, US 1211;"Rütti 1991, type AR 80 ; Isings 1957, type 42a";;30
44;NIMJJ;Gaule du sud;boisson;coupe;récipient à boire;1;verre;dépôt primaire de mobilier;;tombe-bûcher;indéterminé;;adulte;90;125;Gaule Narbonnaise;SP1055, US 1211;"Rütti 1991, type AR 80 ; Isings 1957, type 42a";;42
45;NIMJJ;Gaule du sud;toilette, hygiène;balsamaire;balsamaire;1;verre;dépôt primaire de mobilier;;tombe-bûcher;indéterminé;;adulte;90;125;Gaule Narbonnaise;SP1055, US 1211;"Rütti 1991, type AR 80 ; Isings 1957, type 42a";;44
46;NIMJJ;Gaule du sud;indéterminé;vase indéterminé;indéterminé;1;verre;dépôt primaire de mobilier;;tombe-bûcher;indéterminé;;adulte;90;125;Gaule Narbonnaise;SP1055, US 1211;;;
47;NIMJJ;Gaule du sud;commerce, échanges;bouteille;bouteille;1;verre;dépôt primaire de mobilier;;tombe-bûcher;indéterminé;;adulte;90;125;Gaule Narbonnaise;SP1055, US 1211;Isings 1957, type 50;;4
48;NIMJJ;Gaule du sud;boisson;coupe;récipient à boire;1;verre;dépôt primaire de mobilier;;tombe-bûcher;indéterminé;;adulte;90;125;Gaule Narbonnaise;SP1055, US 1211;"Rütti 1991, type AR 80 ; Isings 1957, type 42a";;35
49;NIMJJ;Gaule du sud;indéterminé;vase indéterminé;indéterminé;1;verre;dépôt primaire incertain;;tombe-bûcher;indéterminé;;adulte;90;125;Gaule Narbonnaise;SP1055, US 1060, 1174, 1184, 1211, et 1241;;;
50;NIMJJ;Gaule du sud;boisson;coupe;récipient à boire;1;verre;dépôt primaire incertain;;tombe-bûcher;indéterminé;;adulte;90;125;Gaule Narbonnaise;SP1055, US 1060;;;
51;NIMJJ;Gaule du sud;toilette, hygiène;balsamaire;balsamaire;1;verre;dépôt primaire incertain;;tombe-bûcher;indéterminé;;adulte;90;125;Gaule Narbonnaise;SP1055, US 1060;;;
52;NIMJJ;Gaule du sud;indéterminé;vase indéterminé;indéterminé;1;verre;dépôt primaire incertain;;tombe-bûcher;indéterminé;;adulte;90;125;Gaule Narbonnaise;SP1055, US 1060;;;
53;NIMJJ;Gaule du sud;toilette, hygiène;balsamaire;balsamaire;1;verre;dépôt primaire incertain;;tombe-bûcher;indéterminé;;adulte;90;125;Gaule Narbonnaise;SP1055, US 1211;;;
54;NIMJJ;Gaule du sud;toilette, hygiène;balsamaire;balsamaire;1;verre;dépôt primaire incertain;;tombe-bûcher;indéterminé;;adulte;90;125;Gaule Narbonnaise;SP1055, US 1211;;;
55;NIMJJ;Gaule du sud;boisson;coupe;récipient à boire;1;verre;dépôt primaire incertain;;tombe-bûcher;indéterminé;;adulte;90;125;Gaule Narbonnaise;SP1055, US 1241;;;
56;NIMJJ;Gaule du sud;toilette, hygiène;balsamaire;balsamaire;1;verre;dépôt primaire incertain;;tombe-bûcher;indéterminé;;adulte;90;125;Gaule Narbonnaise;SP1055, 1211;;;
57;NIMJJ;Gaule du sud;toilette, hygiène;balsamaire;balsamaire;1;verre;dépôt primaire incertain;;tombe-bûcher;indéterminé;;adulte;90;125;Gaule Narbonnaise;SP1055, 1211;;;
58;NIMJJ;Gaule du sud;boisson;gobelet;récipient à boire;1;verre;dépôt primaire incertain;;tombe-bûcher;indéterminé;;adulte;90;125;Gaule Narbonnaise;SP1055, 1211;;;
59;NIMJJ;Gaule du sud;toilette, hygiène;balsamaire;balsamaire;1;verre;dépôt primaire incertain;;tombe-bûcher;indéterminé;;adulte;90;125;Gaule Narbonnaise;SP1055, 1211;;;
60;NIMJJ;Gaule du sud;boisson;coupe;récipient à boire;1;verre;dépôt primaire incertain;;tombe-bûcher;indéterminé;;adulte;90;125;Gaule Narbonnaise;SP1055, 1211;Isings 1957, type 42;;
61;NIMJJ;Gaule du sud;indéterminé;vase indéterminé;indéterminé;1;verre;dépôt primaire incertain;;tombe-bûcher;indéterminé;;adulte;90;125;Gaule Narbonnaise;SP1055, 1212;;;
62;NIMJJ;Gaule du sud;commerce, échanges;bouteille;bouteille;1;verre;dépôt primaire incertain;;tombe-bûcher;indéterminé;;adulte;90;125;Gaule Narbonnaise;SP1055, 1213;;;
63;NIMJJ;Gaule du sud;toilette, hygiène;balsamaire;balsamaire;1;verre;dépôt primaire incertain;;tombe-bûcher;indéterminé;;adulte;90;125;Gaule Narbonnaise;SP1055, 1214;"Rütti 1991, type AR 130.2 ; Isings 1957, type 28b";;
64;NIMJJ;Gaule du sud;boisson;coupe;récipient à boire;1;verre;dépôt primaire incertain;;tombe-bûcher;indéterminé;;adulte;90;125;Gaule Narbonnaise;SP1055, 1215;;;
65;NIMJJ;Gaule du sud;boisson;coupe;récipient à boire;1;verre;dépôt primaire incertain;;tombe-bûcher;indéterminé;;adulte;90;125;Gaule Narbonnaise;SP1055, 1216;Isings 1957, type 42;;
66;NIMJJ;Gaule du sud;boisson;coupe;récipient à boire;2;verre;dépôt primaire incertain;;tombe-bûcher;indéterminé;;adulte;90;125;Gaule Narbonnaise;SP1055, 1216;Isings 1957, type 43;;
67;NIMJJ;Gaule du sud;boisson;coupe;récipient à boire;2;verre;dépôt primaire incertain;;tombe-bûcher;indéterminé;;adulte;90;125;Gaule Narbonnaise;SP1055, 1216;;;
68;NIMJJ;Gaule du sud;boisson;coupe;récipient à boire;6;verre;dépôt primaire incertain;;tombe-bûcher;indéterminé;;adulte;90;125;Gaule Narbonnaise;SP1055, 1216;;;
69;NIMJJ;Gaule du sud;éclairage;lampe à huile;éclairage;1;terre cuite;dépôt primaire de mobilier;;tombe-bûcher;indéterminé;;adulte;90;125;Gaule Narbonnaise;SP1055, US 1229;"Bailey 1988, type B III ; Loeschcke 1919, type IV";101;20
70;NIMJJ;Gaule du sud;éclairage;lampe à huile;éclairage;1;terre cuite;dépôt primaire de mobilier;;tombe-bûcher;indéterminé;;adulte;90;125;Gaule Narbonnaise;SP1055, US 1244;Loeschcke 1919, type V;73;23
71;NIMJJ;Gaule du sud;éclairage;lampe à huile;éclairage;1;terre cuite;dépôt primaire de mobilier;;tombe-bûcher;indéterminé;;adulte;90;125;Gaule Narbonnaise;SP1055, US 1240;;93;25
72;NIMJJ;Gaule du sud;indéterminé;tige;indéterminé;0;alliage cuivreux;modalité de dépôt inconnue;;tombe-bûcher;indéterminé;;adulte;90;125;Gaule Narbonnaise;SP1055, US 1061;;act. 44,5;
73;NIMJJ;Gaule du sud;huisserie, charpente;clou;huisserie  charpente;3;fer;modalité de dépôt inconnue;;tombe-bûcher;indéterminé;;adulte;90;125;Gaule Narbonnaise;SP1055, US 1211;;;
74;NIMJJ;Gaule du sud;divers;chaîne;divers;1;fer;modalité de dépôt inconnue;;tombe-bûcher;indéterminé;;adulte;90;125;Gaule Narbonnaise;SP1055, US 1060;;act. 46;
75;NIMJJ;Gaule du sud;indéterminé;tige;indéterminé;0;fer;modalité de dépôt inconnue;;tombe-bûcher;indéterminé;;adulte;90;125;Gaule Narbonnaise;SP1055, US 1211;;;
76;NIMJJ;Gaule du sud;indéterminé;coulure;indéterminé;2;fer;modalité de dépôt inconnue;;tombe-bûcher;indéterminé;;adulte;90;125;Gaule Narbonnaise;SP1055, US 1211;;;
77;NIMJJ;Gaule du sud;boisson;coupe;récipient à boire;1;verre;mobilier résiduel;;tombe-bûcher;indéterminé;;adulte;90;125;Gaule Narbonnaise;SP1055;;;
78;NIMJJ;Gaule du sud;toilette, hygiène;balsamaire;balsamaire;1;verre;mobilier résiduel;;tombe-bûcher;indéterminé;;adulte;0;0;Gaule Narbonnaise;SP1056;;;
79;NIMJJ;Gaule du sud;indéterminé;vase indéterminé;indéterminé;1;verre;mobilier résiduel;;tombe-bûcher;indéterminé;;adulte;0;0;Gaule Narbonnaise;SP1057;;;
80;NIMJJ;Gaule du sud;éclairage;lampe à huile;éclairage;2;terre cuite;mobilier déposé dans une inhumation;;inhumation de type indéterminé;indéterminé;;adulte;75;200;Gaule Narbonnaise;FS1069, US 1069;;;
81;NIMJJ;Gaule du sud;éclairage;lampe à huile;éclairage;1;terre cuite;mobilier déposé dans une inhumation;;inhumation de type indéterminé;indéterminé;;adulte;75;200;Gaule Narbonnaise;FS1069, US 1069;;;
82;NIMJJ;Gaule du sud;éclairage;lampe à huile;éclairage;2;terre cuite;mobilier déposé dans une inhumation;;inhumation de type indéterminé;indéterminé;;adulte;75;200;Gaule Narbonnaise;FS1069, US 1088;;;
83;NIMJJ;Gaule du sud;divers;déchet;artisanat;1;os;mobilier déposé dans une inhumation;;inhumation de type indéterminé;indéterminé;;adulte;75;200;Gaule Narbonnaise;FS1069, US 1069;;35;
84;NIMJJ;Gaule du sud;indéterminé;objet indéterminé;indéterminé;1;fer;mobilier déposé dans une inhumation;;inhumation de type indéterminé;indéterminé;;adulte;75;200;Gaule Narbonnaise;FS1069, US 1069 et 1095;;;
85;NIMJJ;Gaule du sud;indéterminé;tige;indéterminé;0;fer;mobilier déposé dans une inhumation;;inhumation de type indéterminé;indéterminé;;adulte;75;200;Gaule Narbonnaise;FS1069, US 1095;;;
86;NIMJJ;Gaule du sud;huisserie, charpente;clou;huisserie  charpente;1;fer;mobilier déposé dans une inhumation;;inhumation de type indéterminé;indéterminé;;adulte;75;200;Gaule Narbonnaise;FS1069, US 1088 et 1091;;;
87;NIMJJ;Gaule du sud;indéterminé;vase indéterminé;indéterminé;1;verre;mobilier déposé dans une inhumation;;inhumation de type indéterminé;indéterminé;;adulte;75;200;Gaule Narbonnaise;FS1069, US 1069;;;
88;NIMJJ;Gaule du sud;boisson;coupe;récipient à boire;1;verre;mobilier déposé dans une inhumation;;inhumation de type indéterminé;indéterminé;;adulte;75;200;Gaule Narbonnaise;FS1069, US 1069;;;
89;NIMJJ;Gaule du sud;boisson;gobelet;récipient à boire;1;verre;mobilier déposé dans une inhumation;;inhumation de type indéterminé;indéterminé;;adulte;75;200;Gaule Narbonnaise;FS1069, US 1069;"Rütti 1991, type AR 33.2 ; Isings 1957, type 31";;
90;NIMJJ;Gaule du sud;indéterminé;scorie;indéterminé;3;fer;mobilier déposé dans une inhumation;;inhumation de type indéterminé;indéterminé;;adulte;75;200;Gaule Narbonnaise;FS1069, US 1069 et 1068;;;
91;NIMJJ;Gaule du sud;boisson;gobelet;récipient à boire;1;verre;mobilier résiduel;;bûcher en fosse;indéterminé;;adulte;100;150;Gaule Narbonnaise;SP1154, US 1154 et 1154;;;
92;NIMJJ;Gaule du sud;boisson;coupe;récipient à boire;1;verre;mobilier résiduel;;bûcher en fosse;indéterminé;;adulte;100;150;Gaule Narbonnaise;SP1154, US 1154;;;
93;NIMJJ;Gaule du sud;huisserie, charpente;clou;huisserie  charpente;2;fer;mobilier résiduel;;bûcher en fosse;indéterminé;;adulte;100;150;Gaule Narbonnaise;SP1154, US 1154;;;
94;NIMJJ;Gaule du sud;toilette, hygiène;balsamaire;balsamaire;1;verre;dépôt primaire de mobilier;;dépôt secondaire de résidus de crémation;indéterminé;;adulte;1;200;Gaule Narbonnaise;SP1157, US 1157 et 1163;;;
95;NIMJJ;Gaule du sud;éclairage;lampe à huile;éclairage;1;terre cuite;modalité de dépôt inconnue;;dépôt secondaire de résidus de crémation;indéterminé;;adulte;1;200;Gaule Narbonnaise;SP1157, US 1163;;;
96;NIMJJ;Gaule du sud;indéterminé;tige;indéterminé;0;fer;modalité de dépôt inconnue;;dépôt secondaire de résidus de crémation;indéterminé;;adulte;1;200;Gaule Narbonnaise;SP1157, US 1163;;;
97;NIMJJ;Gaule du sud;indéterminé;tige;indéterminé;0;fer;modalité de dépôt inconnue;;dépôt secondaire de résidus de crémation;indéterminé;;adulte;1;200;Gaule Narbonnaise;SP1157, US 1157;;;
98;NIMJJ;Gaule du sud;toilette, hygiène;balsamaire;balsamaire;2;verre;modalité de dépôt inconnue;;bûcher en fosse ?;indéterminé;;adulte;70;170;Gaule Narbonnaise;FS1194, US 1195;Isings 1957, type 8;;
99;NIMJJ;Gaule du sud;boisson;gobelet;récipient à boire;1;verre;modalité de dépôt inconnue;;bûcher en fosse ?;indéterminé;;adulte;70;170;Gaule Narbonnaise;FS1194, US 1195;"Rütti 1991, type AR 37.1 ; Isings 1957, type 34";;
100;NIMJJ;Gaule du sud;boisson;coupe;récipient à boire;1;verre;modalité de dépôt inconnue;;bûcher en fosse ?;indéterminé;;adulte;70;170;Gaule Narbonnaise;FS1194, US 1195;Isings 1957, type 42;;
101;NIMJJ;Gaule du sud;indéterminé;coulure;indéterminé;1;alliage cuivreux;modalité de dépôt inconnue;;bûcher en fosse ?;indéterminé;;adulte;70;170;Gaule Narbonnaise;FS1194, US 1195;;;
102;NIMJJ;Gaule du sud;parure, vêtement;fibule;fibule de taille indéterminée;1;alliage cuivreux;modalité de dépôt inconnue;;bûcher en fosse ?;indéterminé;;adulte;70;170;Gaule Narbonnaise;FS1194, US 1195;;act. 31;
103;NIMJJ;Gaule du sud;indéterminé;tôle;indéterminé;0;alliage cuivreux;modalité de dépôt inconnue;;bûcher en fosse ?;indéterminé;;adulte;70;170;Gaule Narbonnaise;FS1194, US 1195;;act. 28;
104;NIMJJ;Gaule du sud;indéterminé;plaque;indéterminé;0;alliage cuivreux;modalité de dépôt inconnue;;bûcher en fosse ?;indéterminé;;adulte;70;170;Gaule Narbonnaise;FS1194, US 1195;;act. 176;
105;NIMJJ;Gaule du sud;toilette, hygiène;strigile;strigile;1;alliage cuivreux;modalité de dépôt inconnue;;bûcher en fosse ?;indéterminé;;adulte;70;170;Gaule Narbonnaise;FS1194, US 1195;;act. 32,8;
106;NIMJJ;Gaule du sud;éclairage;lampe à huile;éclairage;1;terre cuite;dépôt primaire incertain;;dépôt secondaire de résidus de crémation;indéterminé;;adulte;130;170;Gaule Narbonnaise;SP1296, US 1296;;;
107;NIMJJ;Gaule du sud;indéterminé;coulure;indéterminé;0;alliage cuivreux;dépôt primaire incertain;;dépôt secondaire de résidus de crémation;indéterminé;;adulte;130;170;Gaule Narbonnaise;SP1296, US 1296;;;
108;NIMJJ;Gaule du sud;boisson;coupe;récipient à boire;1;verre;dépôt primaire incertain;;dépôt secondaire de résidus de crémation;indéterminé;;adulte;130;170;Gaule Narbonnaise;SP1296, US 1296;;;
109;NIMJJ;Gaule du sud;indéterminé;tige;indéterminé;0;os;modalité de dépôt inconnue;restes osseux non brûlés;crémation secondaire à urne;indéterminé;;adulte;70;170;Gaule Narbonnaise;SP1323, US 1323;;act. 16;
110;NIMJJ;Gaule du sud;parure, vêtement;anneau;parure annulaire bague et anneau;1;alliage cuivreux;mobilier déposé dans une inhumation;;inhumation en pleine terre;indéterminé;;adulte;1;200;Gaule Narbonnaise;SP1348, US 1348;;;
111;NIMJJ;Gaule du sud;indéterminé;vase indéterminé;indéterminé;1;verre;mobilier déposé dans une inhumation;;inhumation en pleine terre;indéterminé;;adulte;1;200;Gaule Narbonnaise;SP1348, US 1348;;;
112;NIMJJ;Gaule du sud;parure, vêtement;cabochon;parure indéterminée;1;verre;modalité de dépôt inconnue;;crémation secondaire à urne;indéterminé;;adulte;15;200;Gaule Narbonnaise;SP1357, US 1384;;;
113;NIMJJ;Gaule du sud;indéterminé;objet indéterminé;indéterminé;1;alliage cuivreux;modalité de dépôt inconnue;;crémation secondaire à urne;indéterminé;;adulte;15;200;Gaule Narbonnaise;SP1357, US 1384;;act. 25,8;
114;NIMJJ;Gaule du sud;parure, vêtement;anneau;parure annulaire bague et anneau;1;alliage cuivreux;modalité de dépôt inconnue;;crémation secondaire à urne;indéterminé;;adulte;15;200;Gaule Narbonnaise;SP1357, US 1475;;14,2;
115;NIMJJ;Gaule du sud;huisserie, charpente;clou;huisserie  charpente;3;fer;modalité de dépôt inconnue;;crémation secondaire à urne;indéterminé;;adulte;15;200;Gaule Narbonnaise;SP1357, US 1475;;;
116;NIMJJ;Gaule du sud;indéterminé;tige;indéterminé;0;fer;modalité de dépôt inconnue;;crémation secondaire à urne;indéterminé;;adulte;15;200;Gaule Narbonnaise;SP1357, US 1475;;;
117;NIMJJ;Gaule du sud;indéterminé;vase indéterminé;indéterminé;1;verre;modalité de dépôt inconnue;;crémation secondaire à urne;indéterminé;;adulte;15;200;Gaule Narbonnaise;SP1357, US 1475;;;
118;NIMJJ;Gaule du sud;funéraire;urne;urne;1;plomb;modalité de dépôt inconnue;;crémation secondaire à urne;indéterminé;;adulte;25;75;Gaule Narbonnaise;SP1380;;;218-225
119;NIMJJ;Gaule du sud;funéraire;couvercle;urne;1;plomb;modalité de dépôt inconnue;;crémation secondaire à urne;indéterminé;;adulte;25;75;Gaule Narbonnaise;SP1380, US 1497 et 1380;;;
120;NIMJJ;Gaule du sud;parure, vêtement;balsamaire;balsamaire;1;verre;modalité de dépôt inconnue;;crémation secondaire à urne;indéterminé;;adulte;25;75;Gaule Narbonnaise;SP1380, US 1427;Isings 1957, type 64;;
